기간	자치구	계	계	계	자연공원	자연공원	자연공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	도시공원	기타공원	기타공원	기타공원
기간	자치구	계	계	계	자연공원	자연공원	자연공원	소계	소계	소계	어린이공원	어린이공원	소공원	소공원	근린공원	근린공원	근린공원	도시자연공원	도시자연공원	도시자연공원	묘지공원	묘지공원	문화공원	문화공원	체육공원	체육공원	역사공원	역사공원	수변공원	수변공원	생태공원	생태공원	가로공원	가로공원	기타공원	기타공원	기타공원
기간	자치구	공원수	(중복)	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	(중복)	면적	공원수	(중복)	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	면적	공원수	(중복)	면적
2015	서대문구	120	3	5,136.1	-	1	218	81	2	4,901.2	47	101.8	21	16	9	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	-	-	39	-	16.9
2015	마포구	155	-	4,505.5	-	-	-	103	-	3,180.7	59	100.5	22	39.2	12	-	2,897.5	-	-	-	1	13.2	8	125.4	-	-	1	4.8	-	-	-	-	-	-	52	-	1,324.9
2015	양천구	119	1	2,906.1	-	-	-	101	1	2,483.5	73	126.5	9	19.7	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	-	-	18	-	422.6
2015	강서구	167	-	4,329.1	-	-	-	155	-	3,244.7	123	186.2	4	3	22	-	3,031.3	-	-	-	-	-	6	24.2	-	-	-	-	-	-	-	-	-	-	12	-	1,084.4
2015	구로구	90	1	3,156.4	-	-	-	50	1	2,835.1	24	47.9	10	19.5	13	1	1,079.0	2	-	1,685.4	-	-	1	3.3	-	-	-	-	-	-	-	-	-	-	40	-	321.2
2015	금천구	58	1	2,221.1	-	-	-	50	1	2,057.1	45	57.1	2	5.2	3	-	39.4	-	1	1,955.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	-	164
2015	영등포구	122	-	3,065.7	-	-	-	87	-	720.7	33	95.2	42	58.7	11	-	563.8	-	-	-	-	-	-	-	-	-	1	3	-	-	-	-	-	-	35	-	2,345.0
2015	동작구	82	1	4,594.8	-	-	-	67	-	4,402.4	33	40.2	21	20.8	10	-	2,877.3	-	-	-	1	1,404.0	1	12.2	-	-	1	47.8	-	-	-	-	-	-	15	1	192.4
2015	관악구	111	2	10,975.9	-	-	-	98	2	10,969.2	71	87.3	17	22.8	4	2	400.5	1	-	10,420.8	-	-	1	4.3	-	-	-	-	4	33.5	-	-	-	-	13	-	6.7
2015	서초구	147	-	15,874.5	-	-	-	120	-	15,071.1	79	133	6	8.4	27	-	1,753.9	6	-	13,026.3	1	127.8	-	-	-	-	-	-	1	21.6	-	-	-	-	27	-	803.4
2015	강남구	154	2	6,422.0	-	-	-	141	2	5,132.3	64	105.8	14	20.1	58	-	2,415.3	-	2	2,449.8	-	-	1	31.1	-	-	2	96.1	2	14.1	-	-	-	-	13	-	1,289.7
2015	송파구	147	1	4,253.9	-	-	-	133	-	1,645.9	81	135.3	3	3.6	49	-	1,507.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	1	2,608.0
2015	강동구	122	1	3,382.7	-	-	-	113	1	2,840.4	62	133.8	15	20.3	30	-	1,820.4	1	1	713.4	-	-	1	0.8	-	-	1	110.2	3	41.5	-	-	-	-	9	-	542.2
2015	서울대공원	1	-	6,670.0	-	-	-	1	-	6,670.0	-	-	-	-	1	-	6,670.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2016	합계	2,834	33	168,203.9	1	5	37,345.0	2,181	25	114,989.5	1,284	2,250.6	386	511.5	404	13	45,192.2	20	12	63,101.1	4	2,377.9	43	727.2	4	149.4	18	500.9	11	112.5	1	51.5	6	14.7	652	3	15,869.4
2016	종로구	108	2	11,567.4	-	1	4,998.0	69	1	6,442.5	27	65	13	16.4	23	-	2,511.8	2	1	3,734.1	-	-	2	5.8	-	-	2	109.4	-	-	-	-	-	-	39	-	126.9
2016	중구	70	2	3,132.0	-	-	-	59	2	3,082.4	16	33.7	28	25.2	6	2	1,176.7	1	-	1,785.1	-	-	3	5.8	1	29.7	4	26.2	-	-	-	-	-	-	11	-	49.6
2016	용산구	101	1	1,794.1	-	-	-	65	1	781.7	23	45.1	28	41	7	1	607.2	-	-	-	-	-	2	61	-	-	3	23.9	-	-	-	-	2	3.5	36	-	1,012.4
2016	성동구	82	1	3,095.0	-	-	-	61	1	1,253.6	32	55.2	15	13.3	9	1	1,083.1	-	-	-	-	-	1	90.4	1	2.8	-	-	-	-	-	-	3	8.8	21	-	1,841.4
2016	광진구	55	2	3,359.2	-	-	-	41	1	2,913.1	35	39	5	6.5	1	-	560.6	-	1	2,307.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	1	446.1
2016	동대문구	97	1	1,277.2	-	-	-	81	1	1,035.1	42	81.1	25	34.6	12	1	913.1	-	-	-	-	-	-	-	-	-	1	3.9	-	-	-	-	1	2.4	16	-	242.1
2016	중랑구	104	-	5,211.9	-	-	-	67	-	5,029.2	46	64.2	10	20	9	-	1,311.6	1	-	2,800.6	1	832.8	-	-	-	-	-	-	-	-	-	-	-	-	37	-	182.7
2016	성북구	130	5	8,393.0	-	1	3,864.0	77	4	4,470.6	41	107.3	22	24.3	11	3	2,059.1	1	1	2,276.2	-	-	1	1.9	-	-	-	-	1	1.8	-	-	-	-	53	-	58.4
2016	강북구	83	1	14,337.6	1	-	11,899.0	63	1	2,280.2	44	76.2	13	10.3	3	-	2,049.7	-	1	129.4	-	-	3	14.7	-	-	-	-	-	-	-	-	-	-	19	-	158.4
2016	도봉구	79	2	10,083.8	-	1	8,703.0	51	1	1,166.0	40	51.4	7	9.7	2	1	1,003.6	-	-	-	-	-	-	-	1	49.8	-	-	-	-	1	51.5	-	-	28	-	214.7
2016	노원구	181	-	14,168.9	-	-	-	130	-	13,852.1	94	171.8	3	4.1	25	-	1,535.9	2	-	12,024.3	-	-	5	48.8	1	67.1	-	-	-	-	-	-	-	-	51	-	316.8
2016	은평구	136	3	13,999.6	-	1	7,663.0	99	2	6,229.9	47	92.8	23	41.1	24	1	2,690.4	2	1	3,340.3	-	-	3	65.3	-	-	-	-	-	-	-	-	-	-	37	-	106.7
2016	서대문구	119	3	5,135.3	-	1	218	80	2	4,900.4	47	101.1	21	15.9	8	-	1,322.6	1	2	3,449.5	-	-	3	11.3	-	-	-	-	-	-	-	-	-	-	39	-	16.9
2016	마포구	143	-	4,439.3	-	-	-	99	-	3,126.1	57	91.9	21	31.1	11	-	2,859.7	-	-	-	1	13.2	8	125.4	-	-	1	4.8	-	-	-	-	-	-	44	-	1,313.2
2016	양천구	120	1	2,909.8	-	-	-	102	1	2,487.3	73	126.9	10	23.1	18	-	1,115.9	-	1	1,003.5	-	-	1	217.9	-	-	-	-	-	-	-	-	-	-	18	-	422.6
2016	강서구	167	-	4,329.1	-	-	-	155	-	3,244.7	123	186.3	4	3	22	-	3,031.3	-	-	-	-	-	6	24.2	-	-	-	-	-	-	-	-	-	-	12	-	1,084.4
2016	구로구	92	1	3,157.0	-	-	-	50	1	2,835.1	24	47.8	10	19.5	13	1	1,079.0	2	-	1,685.4	-	-	1	3.3	-	-	-	-	-	-	-	-	-	-	42	-	321.9
