,관리번호,공원명,위도,경도,공원면적,자치구
9882,11290-00038,행복한,37.607521,127.018009,1173.0,성북구
9883,11290-00039,두레,37.607521,127.018009,287.0,성북구
9884,11290-00040,돌마루,37.5880187,127.012142,877.0,성북구
9885,11290-00041,되너미,37.586644,127.012756,1069.0,성북구
9886,11290-00042,꿈빛,37.586644,127.012756,719.0,성북구
9965,11530-00001,미래사랑어린이공원,37.50984705,126.8890762,5870.0,구로구
9966,11530-00002,대성디큐브시티문화공원,37.508432,126.888733,3322.0,구로구
9980,11350-00001,수락산 <시공원>,37.691731,127.065515,6691885.3,노원구
9981,11350-00002,불암산 <시공원>,37.65550069,127.0810229,5332422.0,노원구
9982,11350-00003,상  계,37.66943969,127.0504391,30479.4,노원구
9983,11350-00004,갈  말,37.66649445,127.0523458,10000.9,노원구
9984,11350-00005,갈  울,37.66026956,127.0682487,9668.9,노원구
9985,11350-00006,원  터,37.65043388,127.0627597,10121.4,노원구
9986,11350-00007,느티울,37.64825944,127.0582117,10000.1,노원구
9987,11350-00008,당현천,37.64858127,127.0631162,9652.5,노원구
9988,11350-00009,온  수,37.66093582,127.0625872,17946.2,노원구
9989,11350-00010,중  계,37.63896059,127.0663439,22727.4,노원구
9990,11350-00011,삿갓봉,37.65795085,127.0763791,10652.9,노원구
9991,11350-00012,노  해,37.64815891,127.0706988,34646.8,노원구
9992,11350-00013,양  지,37.64545701,127.0748343,10508.1,노원구
9993,11350-00014,충  숙,37.64032374,127.0768006,12627.7,노원구
10067,11710-00007,글샘작은,37.477494,127.121588,10209.9,송파구
10068,11710-00008,널문,,127.159264,24128.0,송파구
10069,11710-00009,누에머리,37.5038102708,127.141799,18607.5,송파구
10070,11710-00010,동산,37.506226,127.114485,5660.8,송파구
10119,11710-00005,건너말,37.491603,127.123473,11327.8,송파구
10120,11710-00006,글샘,37.478823,127.121867,27289.9,송파구
10201,11500-00124,새싹,37.569485,126.809344,4939.0,강서구
10360,11440-00020,서교어린이공원,37.5520200689,126.915455,1761.0,마포구
10361,11440-00021,잔다리어린이공원,37.554569,126.912702,774.0,마포구
10362,11440-00022,윗잔다리어린이공원,37.5570130465,126.9256552,3251.0,마포구
10363,11440-00023,동교어린이공원,37.560087,126.9234345,978.0,마포구
10364,11440-00024,합정어린이공원,37.551803,126.913019,3005.0,마포구
10365,11440-00025,양화어린이공원,37.5503546473,126.908444466,1388.0,마포구
10366,11440-00026,한마음어린이공원,37.5546895554,126.9080163516,770.0,마포구
10367,11440-00027,옹달샘어린이공원,37.55485,126.902013,1134.0,마포구
10368,11440-00028,두리어린이공원,37.560124,126.901229,1007.0,마포구
10369,11440-00029,망원새싹어린이공원,37.559039,126.898507,559.0,마포구
10370,11440-00030,느티나무어린이공원,37.5595071099,126.918761,993.0,마포구
10371,11440-00031,은행나무어린이공원,37.5646292409,126.922416939,994.0,마포구
10372,11440-00032,다솜어린이공원,37.5622309,126.9154619,975.0,마포구
10373,11440-00033,뒤뜰어린이공원,37.563154,126.909348,530.0,마포구
10374,11440-00034,외주목어린이공원,37.562772,126.907695,263.0,마포구
10375,11440-00035,성메어린이공원,37.568088,126.914754,640.0,마포구
10376,11440-00036,성황당어린이공원,37.568996,126.907334,1367.0,마포구
10377,11440-00037,큰길어린이공원,37.56775,126.908231,942.0,마포구
10378,11440-00038,쌍둥이어린이공원,37.56573,126.906759,905.0,마포구
10379,11440-00039,성사천어린이공원,37.565334,126.904856,166.0,마포구
10380,11440-00040,중동소어린이공원,37.570632,126.9067005,779.0,마포구
10381,11440-00041,중동어린이공원,37.568444,126.910444,377.0,마포구
10382,11440-00042,샘터어린이공원,37.56987,126.906734,123.0,마포구
10383,11440-00043,개나리어린이공원,37.569866,126.909184,1481.0,마포구
10384,11440-00044,새누리어린이공원,37.575462,126.898158,2897.0,마포구
10385,11440-00045,휴암어린이공원,37.577092,126.895682,921.0,마포구
10399,11440-00001,상암공원,37.578874,126.883114,161153.0,마포구
10400,11440-00002,매봉산공원,37.572886,126.892089,13137.0,마포구
10401,11440-00003,구룡공원,37.5827903434,126.883714899,14287.0,마포구
10402,11440-00004,와우공원,27.551606,126.929047,73590.0,마포구
10403,11440-00005,부엉이공원,37.5847882175,126.8830892074,17640.0,마포구
10404,11440-00006,성산공원,37.562015,126.909591,103962.0,마포구
10405,11440-00007,쌍룡산공원,37.552946,126.950353,5791.0,마포구
10406,11440-00008,샛터공원,37.566233,126.906012,31100.0,마포구
10407,11440-00009,노고산공원,37.552734,126.942271,528936.0,마포구
10408,11440-00010,큰더기어린이공원,37.550143,126.953133,1949.0,마포구
10409,11440-00011,공덕역어린이공원,37.544846,126.95128,2435.0,마포구
10410,11440-00012,마포어린이공원,37.5358201586,126.943694,2030.0,마포구
10411,11440-00013,복사꽃어린이공원,37.538997,126.9463517097,1553.0,마포구
10412,11440-00014,도화소어린이공원,37.541067,126.9453426,1646.0,마포구
10413,11440-00015,삼개어린이공원,37.5403581705,126.9450800074,3029.0,마포구
10414,11440-00016,대흥어린이공원,37.543693,126.94354,1486.0,마포구
10415,11440-00017,현석어린이공원,37.544319,126.933312,1622.0,마포구
