지역,연령별,성별,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
서대문구,계,남,49.5,49.3,12.9,75.9,28.2,7.3,7.0,48.3,6.44
서대문구,계,여,41.6,47.7,7.8,74.6,31.4,10.7,5.7,59.8,6.54
서대문구,19~44,계,56.0,53.0,13.4,70.9,37.6,7.7,5.7,64.7,6.83
서대문구,19~44,남,58.2,58.2,16.5,71.3,33.0,6.0,7.1,57.7,6.8
서대문구,19~44,여,54.1,48.6,10.9,70.6,41.4,9.1,4.5,70.5,6.86
서대문구,45~64,계,41.1,39.8,9.7,74.6,28.1,9.7,7.4,55.9,6.38
서대문구,45~64,남,45.5,34.8,12.2,78.6,28.0,6.1,7.6,41.7,6.38
서대문구,45~64,여,37.7,43.7,7.8,71.3,28.1,12.6,7.2,67.1,6.39
서대문구,65~74,계,37.8,53.2,6.4,82.1,19.2,9.6,6.4,41.7,6.04
서대문구,65~74,남,44.6,50.0,9.5,79.7,18.9,8.1,6.8,45.9,5.93
서대문구,65~74,여,31.7,56.1,3.7,84.1,19.5,11.0,6.1,37.8,6.14
서대문구,75 이상,계,14.9,47.8,0.0,86.6,17.9,14.9,4.5,19.4,6.0
서대문구,75 이상,남,20.8,58.3,0.0,83.3,20.8,20.8,4.2,20.8,5.67
서대문구,75 이상,여,11.6,41.9,0.0,88.4,16.3,11.6,4.7,18.6,6.19
도봉구,계,계,41.7,50.9,15.1,80.2,28.7,8.9,9.6,60.4,6.6
도봉구,계,남,45.9,53.4,18.5,81.8,26.1,5.8,10.5,50.9,6.61
도봉구,계,여,38.5,49.0,12.5,79.0,30.8,11.3,8.8,67.7,6.58
도봉구,19~44,계,49.7,53.4,17.3,76.1,35.8,9.9,12.5,67.3,6.82
도봉구,19~44,남,49.4,58.9,20.8,77.4,33.9,4.8,13.7,57.1,6.77
도봉구,19~44,여,50.0,48.4,14.1,74.9,37.5,14.7,11.4,76.6,6.86
도봉구,45~64,계,41.3,48.4,17.5,84.7,27.5,6.9,8.0,62.8,6.52
도봉구,45~64,남,50.7,46.3,19.1,88.0,26.5,5.9,8.8,49.3,6.49
도봉구,45~64,여,35.2,49.8,16.4,82.6,28.2,7.5,7.5,71.4,6.54
도봉구,65~74,계,33.1,56.3,9.9,77.5,21.2,11.9,8.6,51.0,6.29
도봉구,65~74,남,38.2,57.4,17.6,80.9,11.8,10.3,7.4,50.0,6.45
도봉구,65~74,여,28.9,55.4,3.6,74.7,28.9,13.3,9.6,51.8,6.16
도봉구,75 이상,계,20.9,38.8,3.0,84.8,14.9,7.5,4.5,32.8,6.49
도봉구,75 이상,남,18.5,44.4,3.7,80.8,11.1,0.0,7.4,22.2,6.59
도봉구,75 이상,여,22.5,35.0,2.5,87.5,17.5,12.5,2.5,40.0,6.42
노원구,계,계,44.3,43.8,12.9,82.5,27.2,3.8,6.5,53.2,6.83
노원구,계,남,51.9,45.0,15.6,82.7,24.9,3.1,8.4,46.9,6.96
노원구,계,여,37.9,42.9,10.7,82.3,29.1,4.3,4.9,58.5,6.73
노원구,19~44,계,58.4,44.3,15.8,80.2,34.5,3.9,6.7,61.3,7.04
노원구,19~44,남,69.8,46.0,21.2,81.0,31.7,4.2,9.5,54.5,7.08
노원구,19~44,여,48.4,42.9,11.1,79.6,36.9,3.7,4.1,67.3,7.01
노원구,45~64,계,37.5,42.9,12.7,83.9,23.5,3.1,6.7,53.5,6.73
노원구,45~64,남,40.8,39.1,12.1,85.5,23.6,2.3,6.3,44.3,6.86
노원구,45~64,여,34.7,46.0,13.1,82.5,23.5,3.8,7.0,61.0,6.62
노원구,65~74,계,21.3,48.0,8.0,81.1,17.3,4.0,8.0,40.0,6.77
노원구,65~74,남,27.8,58.3,11.1,74.3,5.6,0.0,13.9,36.1,7.11
노원구,65~74,여,15.4,38.5,5.1,87.2,28.2,7.7,2.6,43.6,6.45
노원구,75 이상,계,19.6,41.1,0.0,91.1,12.5,7.1,1.8,10.7,6.15
노원구,75 이상,남,21.1,63.2,0.0,89.5,5.3,5.3,5.3,15.8,6.53
노원구,75 이상,여,18.9,29.7,0.0,91.9,16.2,8.1,0.0,8.1,5.94
강북구,계,계,39.8,54.5,8.8,70.2,33.0,8.3,10.2,64.4,6.46
강북구,계,남,48.4,57.9,11.2,71.8,29.4,7.2,13.0,57.6,6.5
강북구,계,여,33.2,51.9,6.9,68.9,35.7,9.1,8.1,69.7,6.43
강북구,19~44,계,58.8,55.7,10.7,65.7,40.6,6.1,9.3,75.9,6.75
강북구,19~44,남,63.8,60.1,11.7,70.4,38.0,4.3,9.8,68.1,6.72
강북구,19~44,여,54.4,51.6,9.9,61.5,42.9,7.7,8.8,83.0,6.78
강북구,45~64,계,34.1,54.0,11.0,72.0,30.2,9.5,12.8,63.7,6.42
강북구,45~64,남,42.5,55.1,15.7,74.0,28.3,7.1,15.7,53.5,6.21
강북구,45~64,여,28.9,53.2,8.0,70.6,31.3,10.9,10.9,70.1,6.55
강북구,65~74,계,19.0,58.3,4.2,72.0,27.4,11.3,10.1,51.2,6.16
강북구,65~74,남,29.9,61.0,6.5,68.8,18.2,14.3,16.9,48.1,6.53
강북구,65~74,여,9.9,56.0,2.2,74.7,35.2,8.8,4.4,53.8,5.85
강북구,75 이상,계,24.4,43.6,1.3,78.2,23.1,6.4,3.8,44.9,6.01
강북구,75 이상,남,38.2,50.0,2.9,76.5,17.6,5.9,8.8,44.1,6.47
강북구,75 이상,여,13.6,38.6,0.0,79.5,27.3,6.8,0.0,45.5,5.66
중구,계,계,37.7,58.3,12.8,63.9,28.5,11.6,8.0,59.0,6.75
중구,계,남,41.9,60.8,15.5,65.2,29.1,10.1,10.1,53.3,6.71
중구,계,여,34.3,56.2,10.6,62.8,28.0,12.7,6.3,63.5,6.78
중구,19~44,계,52.2,62.4,14.4,59.1,39.8,9.7,7.5,71.8,6.77
중구,19~44,남,55.8,64.5,16.9,60.5,35.5,7.6,8.1,64.5,6.74
중구,19~44,여,48.9,60.5,12.1,57.8,43.7,11.6,6.8,78.4,6.79
중구,45~64,계,34.4,53.0,15.9,60.3,23.2,14.6,9.3,60.5,6.73
중구,45~64,남,34.8,52.6,19.3,61.4,29.6,14.1,12.6,53.0,6.56
중구,45~64,여,34.1,53.3,13.3,59.4,18.0,15.0,6.6,66.5,6.87
중구,65~74,계,22.4,63.2,9.2,70.1,20.4,10.5,8.6,46.1,6.69
중구,65~74,남,32.8,68.9,11.5,71.7,21.3,11.5,13.1,42.6,6.73
중구,65~74,여,15.4,59.3,7.7,69.0,19.8,9.9,5.5,48.4,6.66
중구,75 이상,계,18.0,51.5,3.0,82.3,16.0,11.1,5.0,28.0,6.81
중구,75 이상,남,18.4,60.5,2.6,89.2,10.5,5.4,5.3,21.1,7.0
중구,75 이상,여,17.7,45.9,3.2,78.0,19.4,14.5,4.8,32.3,6.69
용산구,계,계,50.5,63.4,18.3,72.3,26.4,4.8,9.2,58.9,7.0
용산구,계,남,57.7,66.6,26.4,70.4,25.3,3.1,12.5,52.2,6.91
용산구,계,여,45.3,61.2,12.5,73.6,27.2,6.0,6.9,63.6,7.06
용산구,19~44,계,63.4,64.9,19.1,64.9,33.8,6.7,7.2,66.8,6.97
용산구,19~44,남,69.9,69.3,26.5,65.4,31.9,6.0,9.6,54.8,6.9
용산구,19~44,여,58.6,61.7,13.5,64.5,35.1,7.2,5.4,75.7,7.02
용산구,45~64,계,46.1,65.9,19.5,74.1,26.0,3.6,11.7,63.3,6.97
용산구,45~64,남,49.6,66.2,26.6,72.7,25.9,0.7,16.5,54.7,6.78
용산구,45~64,여,43.2,65.7,13.6,75.3,26.0,5.9,7.7,70.4,7.12
용산구,65~74,계,37.6,64.0,21.6,79.8,16.0,4.0,12.8,47.2,6.99
용산구,65~74,남,52.0,62.0,32.0,75.5,14.0,2.0,12.0,50.0,7.0
용산구,65~74,여,28.0,65.3,14.7,82.7,17.3,5.3,13.3,45.3,6.99
용산구,75 이상,계,29.6,49.0,7.1,85.7,12.2,2.0,5.1,28.6,7.22
용산구,75 이상,남,35.7,60.7,14.3,78.6,3.6,0.0,10.7,28.6,7.43
용산구,75 이상,여,27.1,44.3,4.3,88.6,15.7,2.9,2.9,28.6,7.14
송파구,계,계,48.8,64.3,18.7,77.9,27.4,8.5,11.2,68.7,6.91
송파구,계,남,52.4,64.6,25.1,79.1,27.3,5.1,12.7,63.3,6.96
송파구,계,여,46.2,64.1,14.0,77.1,27.5,11.0,10.1,72.7,6.87
송파구,19~44,계,55.7,63.8,20.0,74.4,33.6,9.0,8.8,74.3,6.99
송파구,19~44,남,58.9,63.9,25.6,78.7,35.6,5.6,8.9,68.9,7.1
송파구,19~44,여,53.6,63.8,16.3,71.7,32.2,11.2,8.7,77.9,6.91
송파구,45~64,계,49.1,65.0,19.1,79.3,24.7,8.2,13.3,66.8,6.84
송파구,45~64,남,52.6,63.5,25.0,78.8,25.0,6.4,15.4,62.2,6.76
