지역,연령별,성별,1인당 연소득,주관적 건강수준,걷기 실천,격렬한 신체활동 실천,긍정적 태도율(자연환경),주관적 스트레스 수준,우울감 경험률,중등도 신체활동 실천,체중조절 경험 여부,행복감 지수
서대문구,19~44,여,2137.0,50.6,48.8,12.4,72.2,31.0,9.6,8.1,83.9,7.17
서대문구,45~64,계,1929.6,38.7,52.5,12.5,77.5,26.3,6.4,12.3,69.0,7.11
서대문구,45~64,남,2003.7,44.2,50.8,17.2,82.2,32.5,5.8,15.0,60.8,7.08
서대문구,45~64,여,1879.9,35.0,53.7,9.3,74.3,22.0,6.8,10.5,74.6,7.13
서대문구,65~74,계,1759.6,27.8,52.7,14.5,81.5,18.5,5.3,6.3,58.9,7.27
서대문구,65~74,남,2190.6,25.4,59.3,14.0,78.0,16.9,5.1,3.6,66.1,7.34
서대문구,65~74,여,1465.5,29.3,48.4,14.8,83.7,19.6,5.4,8.1,54.3,7.23
서대문구,75 이상,계,1048.9,11.5,40.9,5.3,80.2,30.4,9.4,2.2,40.6,6.6
서대문구,75 이상,남,964.8,16.0,40.8,10.6,87.5,20.0,6.0,6.2,42.0,6.8
서대문구,75 이상,여,1098.7,9.0,40.9,2.3,75.9,36.4,11.4,0.0,39.8,6.49
도봉구,계,계,1816.5,34.9,55.0,14.7,82.3,25.9,4.7,9.2,64.7,6.86
도봉구,계,남,1823.9,43.0,61.1,21.4,84.3,20.9,2.5,12.0,61.8,6.98
도봉구,계,여,1810.9,28.9,50.5,9.8,80.8,29.6,6.3,7.1,66.9,6.77
도봉구,19~44,계,1917.4,44.8,55.2,22.2,81.9,31.3,5.1,6.1,74.1,6.97
도봉구,19~44,남,1906.2,57.4,62.5,29.4,81.2,27.2,1.5,8.1,71.3,7.07
도봉구,19~44,여,1926.9,34.2,49.1,16.1,82.5,34.8,8.1,4.3,76.4,6.88
도봉구,45~64,계,2017.7,37.6,55.6,13.7,82.1,26.5,4.8,10.5,67.8,6.89
도봉구,45~64,남,2066.8,43.0,56.3,19.0,84.4,21.1,2.1,13.4,59.2,7.06
도봉구,45~64,여,1983.9,34.0,55.0,10.0,80.5,30.1,6.7,8.6,73.7,6.77
도봉구,65~74,계,1537.0,19.1,56.7,9.6,82.7,18.5,2.5,13.4,61.8,6.75
도봉구,65~74,남,1562.7,20.8,63.9,16.7,87.3,15.3,4.2,16.7,59.7,6.72
도봉구,65~74,여,1515.6,17.6,50.6,3.5,78.8,21.2,1.2,10.6,63.5,6.76
도봉구,75 이상,계,1305.0,22.5,50.5,5.4,83.6,19.8,6.3,7.2,34.2,6.66
도봉구,75 이상,남,1188.0,34.9,67.4,11.6,88.4,9.3,4.7,11.6,44.2,6.84
도봉구,75 이상,여,1379.0,14.7,39.7,1.5,80.6,26.5,7.4,4.4,27.9,6.54
노원구,계,계,1767.4,34.0,63.0,14.8,93.4,20.2,6.8,15.8,59.5,6.65
노원구,계,남,1785.9,37.9,68.8,18.2,94.6,18.8,6.0,15.7,51.8,6.72
노원구,계,여,1754.7,31.3,59.0,12.6,92.7,21.2,7.3,15.8,64.7,6.61
노원구,19~44,계,1947.8,50.5,64.1,15.6,91.6,21.3,5.6,12.6,60.5,6.86
노원구,19~44,남,1999.5,55.8,69.0,21.7,93.8,20.2,5.4,11.6,49.6,6.91
노원구,19~44,여,1907.4,46.5,60.5,11.0,90.1,22.1,5.8,13.4,68.6,6.81
노원구,45~64,계,2044.2,33.0,66.1,16.2,93.8,22.1,7.4,20.4,64.3,6.51
노원구,45~64,남,2027.8,36.8,70.7,20.3,95.5,21.1,6.0,20.3,54.1,6.52
노원구,45~64,여,2054.7,30.6,63.1,13.6,92.7,22.8,8.3,20.4,70.9,6.51
노원구,65~74,계,1297.4,16.1,65.8,14.9,93.8,18.0,9.3,17.4,63.4,6.5
노원구,65~74,남,1393.1,16.9,66.2,12.3,92.3,15.4,9.2,16.9,56.9,6.5
노원구,65~74,여,1229.9,15.6,65.6,16.7,94.8,19.8,9.4,17.7,67.7,6.49
노원구,75 이상,계,1118.9,18.8,47.0,8.5,96.6,14.9,4.4,8.5,37.6,6.75
노원구,75 이상,남,960.0,19.0,66.7,9.5,97.6,12.2,2.4,11.9,42.9,7.1
노원구,75 이상,여,1211.0,18.7,36.0,8.0,96.0,16.4,5.6,6.7,34.7,6.56
강북구,계,계,1557.9,32.4,52.9,8.9,81.4,23.3,6.3,6.5,61.8,6.77
강북구,계,남,1617.1,36.0,53.9,14.0,80.5,18.9,5.9,9.7,52.2,6.75
강북구,계,여,1513.0,29.6,52.2,5.1,82.1,26.6,6.7,4.2,69.1,6.78
강북구,19~44,계,1780.3,52.8,61.5,14.0,76.6,35.1,7.2,9.4,69.1,6.96
강북구,19~44,남,1895.4,53.0,61.5,19.7,75.7,29.1,6.0,13.7,65.0,6.97
강북구,19~44,여,1687.7,52.7,61.5,9.5,77.4,39.9,8.1,6.1,72.3,6.96
강북구,45~64,계,1765.3,29.4,53.2,7.6,79.9,19.3,4.9,7.6,67.6,6.81
강북구,45~64,남,1830.6,35.5,48.2,11.3,82.1,17.0,5.0,12.8,53.2,6.82
강북구,45~64,여,1716.2,24.7,57.0,4.8,78.3,21.0,4.8,3.8,78.5,6.81
강북구,65~74,계,1310.8,21.5,48.7,5.1,80.4,24.2,7.7,3.8,58.2,6.59
강북구,65~74,남,1274.8,25.4,52.4,7.9,77.8,22.2,6.5,1.6,41.3,6.21
강북구,65~74,여,1334.8,18.9,46.3,3.2,82.1,25.5,8.5,5.3,69.5,6.85
강북구,75 이상,계,1036.3,16.1,42.9,7.1,92.8,11.4,6.6,2.4,42.5,6.55
강북구,75 이상,남,1065.5,19.2,54.2,15.3,87.5,2.8,7.0,4.2,38.9,6.77
강북구,75 이상,여,1013.1,13.7,34.4,1.0,96.8,17.9,6.3,1.0,45.3,6.38
중구,계,계,1988.5,43.6,65.2,24.3,82.5,21.4,2.7,9.4,59.1,6.85
중구,계,남,2026.6,46.9,65.5,26.7,82.8,20.7,2.5,9.8,51.8,6.75
중구,계,여,1953.0,40.5,64.9,22.1,82.2,22.1,2.9,9.1,65.8,6.94
중구,19~44,계,2395.0,68.0,64.6,29.3,76.1,24.7,2.0,8.2,70.2,7.02
중구,19~44,남,2452.9,68.6,65.4,35.7,77.3,18.9,1.6,11.4,63.2,6.92
중구,19~44,여,2332.3,67.3,63.7,22.4,74.7,31.0,2.3,4.7,77.8,7.13
중구,45~64,계,2080.9,35.0,69.9,26.9,82.3,19.9,2.4,12.3,64.2,6.76
중구,45~64,남,2070.4,35.7,65.8,25.5,83.2,24.1,2.5,10.1,50.0,6.54
